"@timestamp",message,hostname
"Aug 13, 2025 @ 15:49:34.610","Exception while indexing singulation conveyor: Trying to index before previous index has completed
Traceback (most recent call last):
  File ""/opt/bg/deps/build/breakpack_singulation_conveyor/breakpack_singulation_conveyor/singulation_conveyor_application.py"", line 575, in _index
    _, advance_future = self._conveyor_driver.advance()
  File ""/opt/bg/deps/build/interroll_multicontrol/interroll_multicontrol/control_programs/highway_loop.py"", line 233, in advance
    raise ValueError(""Trying to index before previous index has completed"")
ValueError: Trying to index before previous index has completed","singulation-conveyor-cd76fcc68-h5vhk"
"Aug 13, 2025 @ 15:49:34.611","Processing request to index for index_zone: (0).","singulation-conveyor-cd76fcc68-h5vhk"
"Aug 13, 2025 @ 15:49:34.611","Completed conveyor index request: duration - 1.0","singulation-conveyor-cd76fcc68-h5vhk"
"Aug 13, 2025 @ 15:49:34.611","reason for wakeup: Noticed completion of index (zone 0) - (IndexCommandState(index_zone=0, index_state=<IndexState.MOTION_STARTED: 3>))","singulation-conveyor-cd76fcc68-h5vhk"
"Aug 13, 2025 @ 15:49:34.612","{""message_type"": ""conveyor_index_motion_started"", ""event_time"": 1755114574.6118932, ""index_zone"": 0}","singulation-conveyor-cd76fcc68-h5vhk"
"Aug 13, 2025 @ 15:49:34.612","Waiting for next wakeup from reducer or completion of one of outstanding actions: ['index (zone 0) - (IndexCommandState(index_zone=0, index_state=<IndexState.MOTION_STARTED: 3>))', 'await items']","singulation-conveyor-cd76fcc68-h5vhk"
"Aug 13, 2025 @ 15:49:34.620","[Index Zone 0] Invalid transition from MOTION_STARTED on message conveyor_index_motion_started","singulation-conveyor-cd76fcc68-h5vhk"
"Aug 13, 2025 @ 15:49:34.622","[Index Zone 0] Invalid transition from MOTION_STARTED on message conveyor_index_motion_started","supervisor-69f9d4df64-jmbwl"
"Aug 13, 2025 @ 15:49:34.623","[Index Zone 0] Invalid transition from MOTION_STARTED on message conveyor_index_motion_started","singulation-tote-scanner-5885f9dc8-q8nh7"
"Aug 13, 2025 @ 15:49:34.623","[Index Zone 0] Invalid transition from MOTION_STARTED on message conveyor_index_motion_started","supervisor-69f9d4df64-jmbwl"
"Aug 13, 2025 @ 15:49:34.625","[Index Zone 0] Invalid transition from MOTION_STARTED on message conveyor_index_motion_started","pickapp-5bd5475c6c-lnkn6"
"Aug 13, 2025 @ 15:49:34.783","{""message_type"": ""module_update_health"", ""event_time"": 1755114574.7833881, ""module_id"": ""SingulationApplication:RPS00"", ""health_characteristics"": {""rois_in_collision"": [], ""blower"": {""overtemp"": false, ""faulted"": false, ""breaker_tripped"": false}, ""current_gripper_cup"": ""medium_cup""}}","health-server-5f65d9fd9d-jxp46"
"Aug 13, 2025 @ 15:49:35.626","reason for wakeup: Noticed completion of index (zone 0) - (IndexCommandState(index_zone=0, index_state=<IndexState.MOTION_STARTED: 3>))","singulation-conveyor-cd76fcc68-h5vhk"
"Aug 13, 2025 @ 15:49:35.626","Exception while indexing singulation conveyor: Trying to index before previous index has completed
Traceback (most recent call last):
  File ""/opt/bg/deps/build/breakpack_singulation_conveyor/breakpack_singulation_conveyor/singulation_conveyor_application.py"", line 575, in _index
    _, advance_future = self._conveyor_driver.advance()
  File ""/opt/bg/deps/build/interroll_multicontrol/interroll_multicontrol/control_programs/highway_loop.py"", line 233, in advance
    raise ValueError(""Trying to index before previous index has completed"")
ValueError: Trying to index before previous index has completed","singulation-conveyor-cd76fcc68-h5vhk"
"Aug 13, 2025 @ 15:49:35.626","Completed conveyor index request: duration - 1.0","singulation-conveyor-cd76fcc68-h5vhk"
"Aug 13, 2025 @ 15:49:35.627","Waiting for next wakeup from reducer or completion of one of outstanding actions: ['index (zone 0) - (IndexCommandState(index_zone=0, index_state=<IndexState.MOTION_STARTED: 3>))', 'await items']","singulation-conveyor-cd76fcc68-h5vhk"
"Aug 13, 2025 @ 15:49:35.627","Processing request to index for index_zone: (0).","singulation-conveyor-cd76fcc68-h5vhk"
"Aug 13, 2025 @ 15:49:35.627","{""message_type"": ""conveyor_index_motion_started"", ""event_time"": 1755114575.6274636, ""index_zone"": 0}","singulation-conveyor-cd76fcc68-h5vhk"
"Aug 13, 2025 @ 15:49:35.636","[Index Zone 0] Invalid transition from MOTION_STARTED on message conveyor_index_motion_started","singulation-conveyor-cd76fcc68-h5vhk"
"Aug 13, 2025 @ 15:49:35.636","[Index Zone 0] Invalid transition from MOTION_STARTED on message conveyor_index_motion_started","supervisor-69f9d4df64-jmbwl"
"Aug 13, 2025 @ 15:49:35.637","[Index Zone 0] Invalid transition from MOTION_STARTED on message conveyor_index_motion_started","singulation-tote-scanner-5885f9dc8-q8nh7"
"Aug 13, 2025 @ 15:49:35.637","[Index Zone 0] Invalid transition from MOTION_STARTED on message conveyor_index_motion_started","supervisor-69f9d4df64-jmbwl"
